title,domain,country,date_start,date_end,outcome_pro_pct,outcome_source,outcome_type,notes
Scottish independence referendum 2014,political,GB,2014-06-01,2014-09-18,44.7,https://www.electoralcommission.org.uk/who-we-are-and-what-we-do/elections-and-referendums/past-elections-and-referendums/scottish-independence-referendum,referendum,Pro = Yes (independence). Official result: Yes 44.7% No 55.3%
Colombian FARC peace deal referendum 2016,political,CO,2016-07-01,2016-10-02,49.8,https://www.registraduria.gov.co/IMG/pdf/Boletin_Nacional_Plebiscito.pdf,referendum,Pro = Yes (approve peace deal). Narrowly rejected 49.78% Yes vs 50.21% No
Greek bailout referendum (Greferendum) 2015,political,GR,2015-06-20,2015-07-05,38.7,https://www.ypes.gr/en/Elections/NationalElections/DeploymentElections/,referendum,Pro = Yes (accept bailout). No won 61.3%. Very short timeline.
Turkish constitutional referendum 2017,political,TR,2017-02-01,2017-04-16,51.4,https://www.ysk.gov.tr,referendum,Pro = Yes (presidential system). Passed 51.4% in contested conditions.
Australia same-sex marriage postal survey 2017,social,AU,2017-08-08,2017-11-15,61.6,https://www.abs.gov.au/ausstats/abs@.nsf/mf/1800.0,survey,Pro = Yes (support SSM). 79.5% participation postal survey.
Chile constitutional referendum 2020,political,CL,2020-09-01,2020-10-25,78.3,https://www.servel.cl/resultados-plebiscito-2020/,referendum,Pro = Apruebo (new constitution). Overwhelming 78.3% approval.
Uber London license battle 2017-2019,corporate,GB,2017-09-22,2019-09-24,65.0,https://yougov.co.uk/topics/transport/articles-reports/2017/09/25/majority-londoners-support-uber,survey,Pro = support Uber keeping license. YouGov: 65% of Londoners opposed the ban.
Dieselgate public trust in VW 2015-2016,corporate,DE,2015-09-18,2016-03-31,32.0,https://www.handelsblatt.com/unternehmen/industrie/umfrage-vertrauen-in-volkswagen-bricht-ein/12368484.html,survey,Pro = trust VW. Post-scandal trust collapsed to ~32%.
Net neutrality repeal US 2017,technology,US,2017-04-26,2017-12-14,83.0,https://www.publicknowledge.org/blog/net-neutrality-poll/,survey,Pro = support net neutrality (oppose repeal). University of Maryland: 83% opposed repeal.
GDPR adoption and acceptance EU 2018,technology,EU,2018-01-01,2018-05-25,67.0,https://ec.europa.eu/commission/presscorner/detail/en/IP_19_2956,survey,Pro = support GDPR. Eurobarometer: 67% of EU citizens aware and generally supportive.
Greta Thunberg climate strikes movement 2018-2019,environmental,SE,2018-08-20,2019-09-20,71.0,https://www.pewresearch.org/global/2020/09/09/concern-over-climate-and-environment/,survey,Pro = support climate action. Pew: 71% of Europeans see climate as major threat.
Amazon HQ2 NYC backlash 2018-2019,corporate,US,2018-11-13,2019-02-14,56.0,https://poll.qu.edu/poll-release?releaseid=2601,survey,Pro = support Amazon HQ2 in NYC. Quinnipiac: 56% of NYC voters supported it before cancellation.
Boeing 737 MAX return to service 2020,corporate,US,2020-01-01,2020-11-18,41.0,https://www.atmosphere-research.com,survey,Pro = willing to fly MAX. Atmosphere Research: ~41% willing at return-to-service.
Facebook Cambridge Analytica scandal 2018,technology,US,2018-03-17,2018-06-30,51.0,https://www.pewresearch.org/fact-tank/2018/09/05/americans-are-changing-their-relationship-with-facebook/,survey,Pro = trust Facebook. Pew: 51% of users adjusted privacy; trust fell but didn't crater.
Tesla Cybertruck reveal reaction 2019,commercial,US,2019-11-21,2020-02-28,62.0,https://morningconsult.com/2019/11/25/teslas-cybertruck-launch-event-dented-brand-perception/,survey,Pro = positive about Cybertruck. Morning Consult: initial negative, but 250K+ preorders suggests ~62% enthusiast acceptance.
Japanese nuclear restart after Fukushima 2012-2013,energy,JP,2012-06-01,2013-07-08,35.0,https://www.japantimes.co.jp/news/2013/07/15/national/poll-shows-most-oppose-nuclear-restarts/,survey,Pro = support nuclear restart. NHK/Asahi polls: ~30-35% supported restart; majority opposed.
Uber vs taxi protests France 2015,labor,FR,2015-01-25,2015-06-25,45.0,https://www.ifop.com/wp-content/uploads/2018/03/3349-1-study_file.pdf,survey,Pro = support Uber/ride-sharing. IFOP: ~45% of French favored ride-sharing vs traditional taxis.
AstraZeneca vaccine hesitancy in Germany 2021,public_health,DE,2021-01-29,2021-06-30,62.0,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/covimo_ergebnisse.html,survey,Pro = willing to take AZ vaccine. COVIMO survey: willingness recovered from ~40% to ~62% by June.
WeWork IPO collapse and public perception 2019,financial,US,2019-08-14,2019-11-30,18.0,https://morningconsult.com/2019/09/27/wework-ipo-brand/,survey,Pro = positive about WeWork as investment. Morning Consult: net favorability cratered after S-1.
TikTok US ban debate 2020,technology,US,2020-06-29,2020-09-27,60.0,https://www.pewresearch.org/internet/2020/08/26/46-of-us-adults-have-concerns-about-tiktok/,survey,Pro = support banning TikTok. Pew: ~60% had concerns; majority supported restrictions.
